date,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guinea,Honduras,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Lebanon,Libya,Madagascar,Malaysia,Maldives,Mexico,Moldova,Morocco,Namibia,Nepal,Netherlands,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sudan,Sweden,Switzerland,Tajikistan,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,West Bank and Gaza,Zambia
2020-06-19,27878,1838,11504,39570,19157,7411,17271,11767,20916,105535,57333,60476,22476,3273,1032913,3755,10638,102314,231393,84494,63276,5477,2058,6874,2280,10406,12591,25068,49731,52211,4329,4070,7133,196711,4428,190299,13203,3237,12509,4904,11258,4081,395048,43803,200262,27352,25368,20339,238011,17658,16779,4374,12373,1916,38678,2789,1510,520,1443,8535,2150,170485,13556,9613,45,8274,49634,19147,4820,8726,27670,171666,24274,1336,247925,28459,31316,38464,85462,23400,568292,150292,5639,12709,41615,87715,245575,8316,57895,31235,5338,185245,2222579,35755,44145,277974,5946,3591,675,1430
2020-06-20,28424,1891,11631,41204,19708,7461,17323,12238,21331,108775,57936,60550,23512,3273,1067579,3872,11610,102762,236748,84553,65633,5672,2127,7276,2299,10448,12591,25778,49731,53758,4475,4469,7142,197352,4428,190670,13717,3256,12755,4960,12306,4086,410451,45029,202584,29222,25374,20633,238275,17725,17225,4478,12421,1998,39145,2981,1536,544,1503,8556,2187,175202,13953,9839,46,8605,49710,19808,5005,8742,28566,176617,25222,1362,251338,29400,31620,38841,86488,23730,576162,154233,5783,12803,41833,92681,245938,8580,58597,31243,5399,186493,2255328,36615,44533,278640,6153,3789,784,1430
2020-06-21,28833,1962,11771,42785,20268,7474,17341,12729,21764,112306,58505,60550,24388,3273,1083341,3905,11892,103078,242355,84572,68652,5826,2213,7492,2317,10498,12591,26677,50640,55233,4626,4532,7143,197636,4428,191272,14154,3266,13145,4988,12769,4094,425282,45891,204952,30868,25379,20778,238499,17780,17732,4738,12438,2073,39650,3356,1587,571,1596,8572,2203,180545,14200,9977,55,9026,49801,20244,5106,8745,29471,181088,26030,1379,254936,30052,31931,39133,87369,24045,583879,157612,5888,12894,42095,97302,246272,8580,58918,31292,5457,187685,2281767,37361,44925,279264,6315,3917,833,1430
2020-06-22,29157,1995,11920,44931,20588,7492,17380,13207,22407,115786,59023,60550,25493,3525,1106470,3984,12041,103418,246963,84624,71183,5924,2277,7677,2336,10523,12727,27370,50640,56809,4808,4663,7144,198009,4739,191768,14154,3287,13769,4988,13356,4102,440215,46845,207525,32676,25383,21082,238720,17820,18231,4797,12484,2169,40291,3356,1603,595,1640,8587,2217,185122,14363,10172,63,9561,49866,20919,5196,8751,31076,185034,26752,1392,257447,30682,32227,39392,88403,24291,591465,161005,5970,12990,42313,101590,246504,8698,59718,31310,5513,188897,2312303,38056,45303,280156,6461,4048,1001,1430
2020-06-23,29481,2047,12076,47203,21006,7521,17408,13715,23062,119198,59487,60810,26389,3588,1145906,4114,12270,103767,250767,84653,73572,6027,2368,7904,2366,10650,12761,27936,51643,58141,4973,4848,7155,198526,4849,192480,14568,3302,14540,5040,13943,4107,456183,47896,209970,34502,25391,21512,238833,17879,18765,4952,12535,2216,41033,3726,1622,639,1724,8590,2238,191410,14714,10344,72,10099,49930,21371,5311,8772,32394,188926,27314,1422,260810,31825,32527,39737,89579,24505,598878,164144,6034,13092,42432,106108,246752,8889,61030,31332,5567,190165,2347491,38901,45683,281038,6662,4187,1169,1477
2020-06-24,29640,2114,12248,49851,21717,7558,17449,14305,23570,122660,59945,60898,27487,3676,1188631,4242,12592,104087,254416,84673,77113,6213,2515,8164,2388,10777,12815,28631,51643,59561,5150,5034,7167,198607,4956,192871,15013,3310,14819,5174,14571,4114,473105,49009,212501,36702,25396,22044,239410,17963,19285,5206,12563,2268,41879,3954,1644,670,1787,8596,2261,196847,15078,10907,76,10728,50012,22020,5445,8788,33536,192970,28030,1528,264689,32295,32821,40104,90778,24826,606043,167267,6129,13235,42623,111796,247086,8889,62728,31376,5630,191657,2382426,39852,46133,281815,6990,4366,1328,1489
2020-06-25,30175,2192,12445,52457,22488,7595,17477,14852,24081,126606,60382,61007,28503,3796,1228114,4408,12592,104463,259064,84701,80599,6411,2684,8334,2483,10870,12836,29141,53156,61130,5336,5175,7172,198607,5087,193371,15473,3321,15619,5174,15366,4123,490401,50187,215096,39139,25405,22400,239706,18055,19750,5384,12602,2363,42788,4204,1662,698,1829,8600,2277,202951,15453,11338,102,11162,50122,22614,5595,8788,34902,195745,29037,1569,268602,33069,33119,40415,91838,25286,613148,170639,6233,13372,42736,118375,247486,8984,64009,31428,5691,193115,2422299,40854,46563,282512,7177,4563,1382,1497
2020-06-26,30451,2269,12685,55343,23247,7601,17522,15369,24805,130474,60713,61106,29423,3935,1274974,4513,12592,104629,263360,84725,84442,6552,2836,8739,2539,11038,12875,29764,53856,62755,5517,5425,7191,200195,5209,194036,15834,3343,15828,5260,15994,4127,508953,51427,217724,41193,25414,22800,239961,18162,20319,5533,12653,2432,43703,4446,1697,713,1922,8606,2283,208392,15776,11633,121,11755,50213,23298,5758,8832,36034,198883,29905,1711,272364,34073,33395,40866,92784,25697,619936,174577,6354,13565,42955,124590,247905,9257,65212,31486,5747,194511,2467554,41975,46973,283151,7427,4779,1557,1531
2020-06-27,30616,2330,12968,57744,23909,7686,17580,15890,25267,133978,61095,61209,30676,3935,1313667,4625,12592,104878,267766,84743,88591,6690,2979,8944,2624,11298,12875,30619,54574,63923,5727,5570,7198,200195,5209,194458,16431,3366,16397,5291,17007,4138,528859,52812,220180,43262,25437,23421,240136,18254,20319,5811,12715,2494,44391,4513,1719,727,2005,8616,2305,212802,16080,11877,136,12309,50282,24077,5906,8846,36953,202955,30658,1942,275989,34803,33714,41189,93663,26022,626779,178504,6459,13792,43246,131800,248469,9257,65972,31555,5799,195883,2510259,42932,47360,283785,7682,5130,1815,1531
2020-06-28,30967,2402,13273,59933,24645,7764,17654,16424,25705,137787,61475,61295,31524,3935,1344143,4691,12592,105193,271982,84757,91769,6827,3130,9101,2691,11603,12875,31373,55255,65188,5934,5689,7198,199476,5209,194693,16742,3376,16930,5342,18082,4142,548318,54010,222669,45402,25439,23755,240310,18366,21327,6070,12757,2590,44942,5017,1740,762,2078,8634,2324,216852,16250,12052,183,12772,50355,24567,6080,8855,38150,206512,31686,2127,279419,35455,33907,41646,94413,26313,633563,182493,6586,14046,43459,138134,248770,9257,66392,31617,5849,197239,2549864,43856,47797,284192,7948,5297,1990,1557
2020-06-29,31238,2466,13571,62268,25127,7834,17723,16968,26239,141801,61790,61361,32125,4325,1368195,4831,12592,105830,275999,84780,95043,6939,3269,9214,2725,11805,12951,31816,55665,66754,6173,5846,7209,201522,5394,195042,17351,3390,17409,5351,18818,4145,566840,55092,225205,47151,25462,24441,240436,18476,21819,6190,12800,2677,45524,5296,1745,802,2138,8637,2337,220657,16357,12290,196,13248,50433,25133,6209,8862,39060,209337,32785,2191,282365,36438,34154,41912,95106,26582,640246,186436,6698,14288,43661,144264,248970,9257,67119,31652,5900,198613,2590668,44538,48246,284812,8222,5530,2185,1568
2020-06-30,31517,2535,13907,64530,25542,7920,17766,17524,26758,145483,62118,61427,33219,4453,1402041,4989,12592,106097,279393,84785,97846,7039,3459,9499,2777,11954,12968,32568,56432,68311,6438,5846,7214,202063,5394,195418,17741,3409,18096,5391,19558,4155,585481,56385,227662,49109,25473,25244,240578,18615,22308,6366,12850,2799,46195,5506,1778,824,2214,8639,2361,226089,16613,12533,205,13564,50483,25694,6334,8879,40070,213470,33550,2221,285213,37514,34393,42141,96088,26970,646929,190823,6793,14564,43907,151209,249271,9257,67924,31714,5900,199906,2636414,45254,48667,285216,8503,5832,2428,1594
2020-07-01,31836,2580,14272,67197,26065,8001,17873,18112,27414,149258,62424,61509,34227,4606,1448753,5154,12592,106288,282043,84816,102009,7122,3753,9702,2831,12046,12994,33387,58257,69814,6736,5846,7236,202981,5513,195893,18134,3432,19011,5404,20262,4157,604641,57770,230211,51524,25477,26257,240760,18838,41065,6673,12904,2878,46940,6261,1788,874,2303,8640,2382,231770,16898,12636,285,14046,50545,26484,6454,8896,41194,217809,34463,2260,288477,38511,34775,42454,97003,27296,653479,194225,6925,14836,44122,159333,249659,9573,68608,31851,6005,201098,2687588,45924,49069,285279,8781,6062,2758,1632
2020-07-02,32022,2662,14657,69941,26658,8066,17941,18684,27837,153277,62698,61598,35528,4788,1496858,5315,12592,106643,284541,84830,106110,7189,4023,9992,2912,12178,13015,34197,59468,71299,7000,5846,7241,203640,5513,196370,18134,3458,20072,5450,21120,4166,625544,59394,232863,53708,25489,27047,240961,19055,42574,6941,12967,2991,47859,6767,1796,891,2403,8643,2400,238511,17150,12969,293,14519,50623,27110,6625,8902,42555,221896,35237,2303,292004,38805,35146,42782,97897,27746,660231,197608,7054,15195,44310,168061,250103,9573,69297,31967,6058,202284,2742049,46821,49469,285285,9078,6273,3080,1632
