date,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia
2020-07-26,1259,138,1155,52,40,3,2939,705,161,712,417,11,140,2928,7,534,9821,2,35,0,2583,280,1,87004,3,340,53,6,1,22,0,385,8934,59,75,9112,4652,8525,7,51,204,104,96,136,87,19,371,613,13,58,0,1063,5515,4606,400,51,0,69,32,223,0,329,30195,49,6,16,9124,168,202,0,1734,43,26,20,157,0,1116,596,10,32771,4781,15700,4362,1764,470,35107,10,998,11,585,280,299,177,433,1277,0,31,51,12,72
2020-07-27,1269,144,1163,52,41,3,3059,711,167,713,423,11,141,2965,7,538,9822,2,35,0,2647,294,2,87618,3,347,53,6,1,22,0,391,8945,59,75,9187,4656,8777,7,54,208,115,96,139,87,19,373,613,13,58,0,1083,5532,4652,408,51,0,69,34,228,0,329,30212,49,8,16,9125,168,202,0,1761,45,26,20,158,0,1166,596,10,33408,4838,15912,4458,1764,474,35112,10,998,11,585,285,300,185,438,1301,0,31,51,12,72
2020-07-28,1270,148,1174,52,47,3,3179,719,176,713,430,11,141,3000,7,543,9833,2,35,0,2720,297,2,88539,3,355,53,6,1,22,0,391,8957,59,75,9240,4657,9074,7,54,208,125,98,140,87,19,374,613,13,58,0,1101,5584,4691,417,51,0,69,39,239,0,329,30226,49,8,16,9131,168,203,0,1782,46,26,20,158,0,1214,596,10,34193,4901,16147,4535,1764,486,35123,10,1001,11,793,299,300,192,442,1329,0,31,54,12,72
2020-07-29,1271,150,1186,52,48,3,3288,723,189,716,438,11,144,3035,7,548,9836,2,36,0,2808,316,2,90134,3,368,53,6,1,23,0,391,8962,59,75,9278,4658,9454,7,54,210,133,99,141,87,19,374,614,13,58,0,1123,5623,4728,430,51,0,69,40,253,0,329,30226,49,8,17,9135,175,203,0,1835,46,26,20,159,0,1259,596,10,34955,4975,16343,4603,1764,491,35129,10,1001,11,793,311,300,196,444,1347,0,31,55,13,72
2020-07-30,1271,154,1200,52,51,3,3441,728,196,718,441,14,146,3083,7,553,9840,2,36,0,2894,328,2,91263,3,374,53,6,1,23,0,391,8974,59,75,9377,4659,9810,7,54,215,140,100,144,87,19,379,615,13,58,0,1146,5657,4774,439,51,0,69,40,263,0,329,30241,49,8,17,9144,175,203,0,1867,46,26,20,161,0,1312,596,10,35718,5058,16569,4671,1763,500,35132,10,1007,11,793,325,301,212,445,1364,0,31,57,13,73
2020-07-31,1272,157,1210,52,52,3,3543,738,201,718,448,14,147,3111,7,559,9841,2,36,0,2977,339,2,92475,3,383,53,6,1,23,0,391,8980,59,75,9457,4661,10105,7,54,215,150,102,145,87,19,382,615,13,58,0,1160,5702,4805,448,83,0,69,41,274,1,329,30268,49,9,17,9147,182,206,0,1924,46,26,20,161,0,1337,596,10,36511,5131,16766,4741,1763,512,35141,10,1008,11,793,341,301,212,447,1378,0,32,61,13,75
2020-08-01,1283,161,1223,52,54,3,3596,749,208,718,454,14,147,3132,7,563,9845,2,36,0,3064,339,2,93563,3,385,53,6,1,24,0,391,8986,59,75,9533,4667,10330,7,54,215,154,102,145,87,19,383,615,13,58,0,1170,5736,4834,459,83,0,69,43,284,1,329,30268,50,9,17,9154,182,206,0,1959,46,27,20,165,0,1368,597,10,37364,5193,16982,4805,1763,526,35146,10,1012,11,793,364,301,212,453,1397,0,32,61,14,75
2020-08-02,1284,166,1231,52,55,3,3648,754,221,718,462,14,147,3154,7,567,9845,2,36,0,3153,352,2,94104,3,388,53,6,1,24,0,391,8990,59,75,9608,4669,10650,7,54,215,162,102,149,87,19,384,615,13,59,0,1178,5736,4865,467,83,0,63,43,310,1,329,30268,50,9,17,9154,182,208,0,1995,46,27,21,165,0,1377,597,10,38135,5236,17190,4868,1763,536,35154,12,1013,11,793,369,301,249,457,1409,0,32,62,19,77
2020-08-03,1288,172,1239,52,58,3,3813,762,232,718,468,14,150,3184,7,571,9850,2,36,0,3228,362,2,94665,3,404,53,6,1,25,0,391,8995,59,75,9707,4672,11017,7,58,215,171,102,153,87,19,386,616,13,59,0,1183,5767,4888,477,83,0,63,45,336,1,329,30268,51,9,17,9154,191,209,0,2013,46,27,21,166,0,1384,597,10,38938,5302,17405,4934,1763,546,35166,12,1018,11,793,382,301,256,461,1420,0,32,65,19,78
2020-08-04,1288,176,1248,52,59,3,3979,768,247,719,473,14,151,3234,7,574,9852,2,38,0,3320,373,2,95819,3,415,54,6,1,26,0,391,9005,59,75,9745,4676,11315,7,58,215,181,103,154,88,19,383,616,13,59,0,1213,5808,4912,486,83,0,63,49,343,1,331,30297,51,14,17,9163,191,209,0,2037,48,27,22,166,0,1400,598,10,39795,5388,17617,5017,1763,561,35171,12,1023,11,1058,388,302,296,465,1427,0,32,65,21,78
