date,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guinea,Honduras,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Lebanon,Libya,Madagascar,Malaysia,Maldives,Mexico,Moldova,Morocco,Namibia,Nepal,Netherlands,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sudan,Sweden,Switzerland,Tajikistan,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,West Bank and Gaza,Zambia
2020-04-06,18,116,90,325,62,1080,3463,44,458,33,53,3986,2,47,127,39,17,3256,728,77310,88,5,18,41,130,121,1489,33,100,259,5,4,300,17428,1,28700,31,269,15,5,6,67,375,192,24236,344,25,585,22837,575,46,4,6598,23,103,33,60,1,2,1241,13,633,37,81,3,1,8,35,30,32,61,429,13,12,997,73,162,140,131,406,406,551,92,0,344,95,40437,2,0,8056,0,1326,19581,28,167,287,30,65,24,5
2020-04-07,18,131,113,338,87,1080,4046,44,458,33,54,4157,2,68,127,42,43,3791,898,77410,100,9,24,41,167,172,1621,36,100,276,5,4,300,19523,1,36081,31,269,17,5,6,71,421,204,27039,373,25,770,24392,592,51,7,6694,24,105,33,62,1,7,1321,13,633,40,93,3,1,22,44,30,32,67,467,14,15,1301,84,191,184,150,460,494,615,105,0,377,95,43208,2,0,8704,0,1582,21763,28,186,325,30,65,42,7
2020-04-08,29,154,237,358,114,1080,4512,63,477,33,77,4681,2,79,127,42,60,4154,1115,77567,123,9,29,48,179,233,1763,50,140,305,9,4,300,21452,1,46300,34,269,17,5,6,94,506,222,29812,452,25,801,26491,622,54,9,6776,30,111,33,62,8,11,1487,13,633,40,97,3,1,22,44,35,32,72,572,16,15,1333,96,222,196,178,528,580,631,113,0,406,95,48021,2,0,9800,0,1846,23559,35,239,345,30,65,44,7
2020-04-09,32,165,347,365,138,1472,5240,101,519,33,139,5164,2,101,173,48,60,5162,1274,77679,174,9,30,52,219,301,1883,80,339,348,14,4,300,23413,1,52407,3,269,17,11,6,96,620,252,32309,496,25,1011,28470,632,60,12,6973,37,111,35,67,8,11,1608,13,633,50,109,3,1,28,51,37,32,109,727,16,18,1438,124,284,205,206,647,698,666,123,0,460,95,52165,2,0,10600,0,2142,25410,45,268,359,38,84,44,24
2020-04-10,32,182,405,375,149,1793,6064,159,539,33,169,5568,2,129,173,54,98,5855,1571,77791,197,13,42,52,231,346,1929,98,368,384,15,4,300,25195,1,53913,4,269,17,15,7,112,774,282,35465,550,25,1183,30455,685,64,22,7117,38,123,35,76,8,11,1830,13,633,56,122,3,1,37,58,41,32,109,762,16,18,1569,140,318,233,227,729,795,685,137,0,492,410,55668,2,0,11100,0,2423,28790,61,418,588,42,84,45,25
2020-04-11,32,197,460,440,173,1806,6604,200,555,36,172,5986,2,139,173,62,98,6589,1864,77877,214,16,49,58,323,411,2111,108,411,426,19,10,300,26663,1,57400,4,269,19,17,7,115,969,286,41947,601,25,1341,32534,762,81,24,7243,52,133,44,77,8,11,1995,13,633,75,146,3,1,41,70,41,32,109,1028,17,18,1739,157,375,266,247,758,1045,720,152,0,528,410,59109,2,0,12100,0,2965,31270,79,588,622,42,93,57,28
2020-04-12,32,217,591,468,197,1806,6987,250,558,39,203,6463,2,193,173,68,98,7123,2059,77956,270,16,56,85,373,464,2291,131,501,589,21,10,300,27469,1,60300,4,269,19,17,7,118,1080,359,43894,640,25,1627,34211,762,99,25,7368,58,142,54,80,9,20,2108,14,1772,94,177,3,1,45,85,41,32,109,1095,23,22,1798,197,439,277,275,852,1291,761,171,0,560,410,62391,2,0,12700,0,3446,32988,89,680,626,66,93,58,30
2020-04-13,32,232,601,515,211,1806,7343,289,591,42,203,6707,2,206,173,71,98,7758,2367,78039,319,17,62,89,400,519,2403,152,597,589,22,14,300,28001,1,64300,4,269,19,17,7,120,1181,380,45983,717,25,1855,35435,784,138,40,7447,59,150,67,80,9,21,2276,14,1843,107,203,3,1,45,91,44,32,124,1378,29,22,2642,242,487,277,334,914,1470,805,178,0,586,410,64727,4,0,13700,0,3957,43482,97,852,304,85,110,58,30
2020-04-14,40,248,691,559,265,2186,7633,351,645,42,203,6868,6,236,3046,81,130,8210,2646,78200,354,20,66,114,415,642,2689,162,696,589,25,14,300,28805,1,68200,17,269,19,31,7,122,1359,426,48129,766,25,2195,37130,799,203,41,7534,63,176,71,80,9,23,2478,16,1964,134,217,3,1,47,99,86,32,130,1446,61,22,2869,295,618,347,373,1051,1694,889,183,0,611,410,67504,4,0,13700,0,4799,47763,119,933,323,99,110,62,30
2020-04-15,43,251,708,596,297,2186,8098,404,663,49,203,7107,7,253,14026,105,165,8966,2937,78311,452,21,67,114,473,819,2925,208,780,589,30,15,300,30955,4,72600,17,269,19,31,9,192,1432,446,49933,812,77,2563,38092,853,240,53,7616,66,206,78,85,9,29,2647,16,2125,171,229,3,1,54,128,98,32,131,1645,72,23,3108,353,668,383,406,1217,1986,931,190,0,652,410,70853,4,0,15400,0,5674,52096,143,1034,368,107,111,63,30
2020-04-16,54,277,783,631,358,2355,8986,460,703,49,203,7562,14,277,14026,122,164,9698,3299,78401,550,23,74,146,529,972,3203,215,838,596,33,15,1700,32812,4,77000,83,269,19,49,9,199,1768,548,52229,856,77,2818,40164,901,277,53,7757,71,225,91,86,11,33,2766,16,2125,235,249,4,2,61,152,121,32,176,1765,75,30,6120,435,774,493,415,1357,2304,990,194,0,683,903,74797,4,0,15900,0,7089,54703,186,1095,375,129,111,63,30
2020-04-17,99,283,846,666,402,3808,9704,528,725,58,342,7961,26,320,14026,141,164,10545,3621,77552,634,25,88,193,600,1174,3571,268,838,646,38,15,1700,34420,7,83114,83,269,21,59,10,207,2041,607,54064,906,77,3126,42727,935,347,53,7829,79,258,114,86,11,33,2967,16,2125,276,281,4,2,65,159,139,32,176,1832,98,30,6541,487,866,519,464,1508,2590,1049,198,534,708,903,74797,4,0,16400,0,8631,58545,246,1188,394,156,111,69,30
2020-04-18,112,302,894,685,523,4124,10214,590,755,66,342,8348,31,338,14026,153,177,10964,4035,77614,634,26,97,239,615,1227,4031,312,1008,701,43,16,1700,35983,7,85400,99,269,21,65,10,231,2463,631,55987,953,77,3456,44927,1069,377,60,7937,84,280,130,99,11,35,3102,16,2125,391,314,6,2,67,166,164,32,176,1868,122,35,6684,516,981,610,510,1730,3057,1329,211,637,740,903,74797,6,0,17100,0,10453,64840,275,1188,414,194,113,69,33
2020-04-19,131,314,1047,709,545,4124,10501,712,759,75,494,8757,31,347,22130,161,305,11847,4338,77690,711,26,112,260,709,1298,4328,363,1061,732,44,16,1700,36578,7,88000,99,269,21,87,15,250,2854,686,57023,1009,77,3754,47055,1159,400,67,8042,93,305,133,102,11,39,3197,16,2627,457,327,6,4,72,170,179,32,233,1970,140,41,6811,572,1040,610,518,1892,3291,1398,220,753,768,903,77357,6,0,17800,0,11976,70337,347,1286,436,225,117,71,33
2020-04-20,135,327,1099,737,580,4291,10631,791,769,85,514,8895,31,381,22130,167,305,12543,4676,77745,804,27,124,260,771,1559,4499,416,1150,821,46,16,2000,37409,7,91500,99,269,21,122,25,267,3273,747,59273,1043,77,4049,48877,1159,447,69,8114,102,367,201,103,15,41,3295,16,2627,457,350,6,4,72,188,200,32,238,2073,165,46,6968,613,1133,610,555,2017,3446,1490,235,870,801,1055,80587,8,0,18600,0,13430,72329,359,1360,446,261,117,71,35
